sku_id,nombre_producto,categoria_farmaceutica,principio_activo,presentacion,laboratorio,precio_unitario,costo_unitario,requiere_receta,clasificacion_atc,es_controlado,temperatura_controlada,volumen_unidades
SKU10038,Claritromicina 250mg,Antibióticos Sistémicos,Claritromicina,Caja,Abbott,26.66,15.6,1,J01,0,0,2
SKU10039,Cefalexina 500mg,Antibióticos Sistémicos,Cefalexina,Paquete,Sanofi,41.99,27.23,1,J01,0,0,1
SKU10040,Amoxicilina 1000mg,Antibióticos Sistémicos,Amoxicilina,Paquete,GSK,95.56,62.09,1,J01,0,0,30
SKU10041,Azitromicina 500mg,Antibióticos Sistémicos,Azitromicina,Kit,GSK,48.36,33.08,1,J01,0,0,3
SKU10042,Ciprofloxacina 250mg,Antibióticos Sistémicos,Ciprofloxacina,Kit,Bayer,60.36,40.36,1,J01,0,0,5
SKU10043,Claritromicina 500mg,Antibióticos Sistémicos,Claritromicina,Caja,Abbott,90.76,55.16,1,J01,0,0,2
SKU10044,Cefalexina 750mg,Antibióticos Sistémicos,Cefalexina,Caja,Merck,15.64,9.54,1,J01,0,0,2
SKU10045,Amoxicilina 250mg,Antibióticos Sistémicos,Amoxicilina,Kit,AstraZeneca,17.34,12.13,1,J01,0,0,10
SKU10046,Azitromicina 750mg,Antibióticos Sistémicos,Azitromicina,Unidad,Roche,59.58,35.28,1,J01,0,0,1
SKU10047,Ciprofloxacina 500mg,Antibióticos Sistémicos,Ciprofloxacina,Kit,Bayer,48.85,29.79,1,J01,0,0,3
SKU10048,Claritromicina 750mg,Antibióticos Sistémicos,Claritromicina,Kit,Bayer,59.95,37.6,1,J01,0,0,1
SKU10049,Cefalexina 1000mg,Antibióticos Sistémicos,Cefalexina,Caja,AstraZeneca,105.79,62.99,1,J01,0,0,1
SKU10050,Amoxicilina 500mg,Antibióticos Sistémicos,Amoxicilina,Paquete,Bayer,10.15,6.17,1,J01,0,0,5
SKU10051,Azitromicina 1000mg,Antibióticos Sistémicos,Azitromicina,Kit,Novartis,61.83,37.38,1,J01,0,0,2
SKU10052,Ciprofloxacina 750mg,Antibióticos Sistémicos,Ciprofloxacina,Kit,AstraZeneca,101.03,59.7,1,J01,0,0,1
SKU10053,Claritromicina 1000mg,Antibióticos Sistémicos,Claritromicina,Unidad,Merck,40.97,25.64,1,J01,0,0,2
SKU10054,Cefalexina 250mg,Antibióticos Sistémicos,Cefalexina,Paquete,Novartis,70.39,49.08,1,J01,0,0,3
SKU10055,Amoxicilina 750mg,Antibióticos Sistémicos,Amoxicilina,Unidad,GSK,75.96,50.7,1,J01,0,0,10
SKU10056,Azitromicina 250mg,Antibióticos Sistémicos,Azitromicina,Caja,GSK,106.56,68.62,1,J01,0,0,10
SKU10057,Ciprofloxacina 1000mg,Antibióticos Sistémicos,Ciprofloxacina,Paquete,Roche,110.22,63.68,1,J01,0,0,1
SKU10058,Claritromicina 250mg,Antibióticos Sistémicos,Claritromicina,Unidad,Novartis,33.69,22.74,1,J01,0,0,20
SKU10059,Cefalexina 500mg,Antibióticos Sistémicos,Cefalexina,Unidad,Roche,63.28,43.43,1,J01,0,0,2
SKU10060,Amoxicilina 1000mg,Antibióticos Sistémicos,Amoxicilina,Kit,Roche,112.52,77.48,1,J01,0,0,2
SKU10061,Azitromicina 500mg,Antibióticos Sistémicos,Azitromicina,Paquete,Novartis,72.27,47.09,1,J01,0,0,2
SKU10062,Ciprofloxacina 250mg,Antibióticos Sistémicos,Ciprofloxacina,Unidad,Merck,32.79,22.18,1,J01,0,0,1
SKU10063,Claritromicina 500mg,Antibióticos Sistémicos,Claritromicina,Caja,Merck,39.97,26.03,1,J01,0,0,50
SKU10064,Cefalexina 750mg,Antibióticos Sistémicos,Cefalexina,Unidad,Pfizer,78.86,45.0,1,J01,0,0,2
SKU10065,Amoxicilina 250mg,Antibióticos Sistémicos,Amoxicilina,Paquete,Merck,107.43,60.78,1,J01,0,0,20
SKU10066,Azitromicina 750mg,Antibióticos Sistémicos,Azitromicina,Unidad,Roche,20.59,13.0,1,J01,0,0,5
SKU10067,Ciprofloxacina 500mg,Antibióticos Sistémicos,Ciprofloxacina,Caja,Novartis,52.15,29.1,1,J01,0,0,20
SKU10068,Claritromicina 750mg,Antibióticos Sistémicos,Claritromicina,Kit,Novartis,34.94,21.27,1,J01,0,0,100
SKU10069,Cefalexina 1000mg,Antibióticos Sistémicos,Cefalexina,Kit,Boehringer,10.98,7.66,1,J01,0,0,1
SKU10070,Amoxicilina 500mg,Antibióticos Sistémicos,Amoxicilina,Kit,Boehringer,56.46,35.51,1,J01,0,0,2
SKU10071,Azitromicina 1000mg,Antibióticos Sistémicos,Azitromicina,Paquete,Pfizer,92.64,59.85,1,J01,0,0,1
SKU10072,Ciprofloxacina 750mg,Antibióticos Sistémicos,Ciprofloxacina,Caja,Abbott,115.67,76.15,1,J01,0,0,1
SKU10073,Claritromicina 1000mg,Antibióticos Sistémicos,Claritromicina,Paquete,Boehringer,71.0,42.64,1,J01,0,0,10
SKU10074,Cefalexina 250mg,Antibióticos Sistémicos,Cefalexina,Unidad,Sanofi,37.35,25.62,1,J01,0,0,30
SKU10075,Amoxicilina 750mg,Antibióticos Sistémicos,Amoxicilina,Unidad,GSK,109.91,73.39,1,J01,0,0,10
SKU10076,Azitromicina 250mg,Antibióticos Sistémicos,Azitromicina,Paquete,Roche,57.29,39.22,1,J01,0,0,2
SKU10077,Ciprofloxacina 1000mg,Antibióticos Sistémicos,Ciprofloxacina,Unidad,Merck,56.53,34.04,1,J01,0,0,2
SKU10078,Claritromicina 250mg,Antibióticos Sistémicos,Claritromicina,Unidad,AstraZeneca,95.34,59.0,1,J01,0,0,3
SKU10079,Cefalexina 500mg,Antibióticos Sistémicos,Cefalexina,Paquete,Sanofi,101.2,64.14,1,J01,0,0,1
SKU10080,Amoxicilina 1000mg,Antibióticos Sistémicos,Amoxicilina,Unidad,Boehringer,103.27,72.22,1,J01,0,0,3
SKU10081,Azitromicina 500mg,Antibióticos Sistémicos,Azitromicina,Paquete,Merck,43.68,27.63,1,J01,0,0,2
SKU10082,Ciprofloxacina 250mg,Antibióticos Sistémicos,Ciprofloxacina,Kit,GSK,90.27,52.85,1,J01,0,0,1
SKU10083,Claritromicina 500mg,Antibióticos Sistémicos,Claritromicina,Unidad,Abbott,20.23,13.99,1,J01,0,0,3
SKU10084,Cefalexina 750mg,Antibióticos Sistémicos,Cefalexina,Caja,Abbott,41.39,24.83,1,J01,0,0,1
SKU10085,Amoxicilina 250mg,Antibióticos Sistémicos,Amoxicilina,Caja,GSK,51.89,32.07,1,J01,0,0,2
SKU10086,Azitromicina 750mg,Antibióticos Sistémicos,Azitromicina,Paquete,Merck,18.32,10.53,1,J01,0,0,30
SKU10087,Ciprofloxacina 500mg,Antibióticos Sistémicos,Ciprofloxacina,Kit,Merck,85.58,50.51,1,J01,0,0,3
SKU10088,Claritromicina 750mg,Antibióticos Sistémicos,Claritromicina,Unidad,GSK,10.47,6.85,1,J01,0,0,3
SKU10089,Cefalexina 1000mg,Antibióticos Sistémicos,Cefalexina,Caja,GSK,30.57,19.99,1,J01,0,0,1
SKU10090,Amoxicilina 500mg,Antibióticos Sistémicos,Amoxicilina,Unidad,Merck,51.95,32.87,1,J01,0,0,1
SKU10091,Azitromicina 1000mg,Antibióticos Sistémicos,Azitromicina,Paquete,GSK,88.26,55.57,1,J01,0,0,1
SKU10092,Ciprofloxacina 750mg,Antibióticos Sistémicos,Ciprofloxacina,Paquete,Roche,21.08,11.95,1,J01,0,0,10
SKU10093,Claritromicina 1000mg,Antibióticos Sistémicos,Claritromicina,Caja,Abbott,78.99,46.65,1,J01,0,0,50
SKU10094,Cefalexina 250mg,Antibióticos Sistémicos,Cefalexina,Caja,Bayer,17.26,11.66,1,J01,0,0,20
SKU10095,Amoxicilina 750mg,Antibióticos Sistémicos,Amoxicilina,Caja,Abbott,104.41,67.38,1,J01,0,0,1
SKU10096,Azitromicina 250mg,Antibióticos Sistémicos,Azitromicina,Kit,AstraZeneca,118.82,76.9,1,J01,0,0,1
SKU10097,Ciprofloxacina 1000mg,Antibióticos Sistémicos,Ciprofloxacina,Paquete,Bayer,18.54,11.62,1,J01,0,0,50
SKU10098,Claritromicina 250mg,Antibióticos Sistémicos,Claritromicina,Paquete,Sanofi,82.29,50.73,1,J01,0,0,5
SKU10099,Cefalexina 500mg,Antibióticos Sistémicos,Cefalexina,Unidad,Merck,69.15,45.91,1,J01,0,0,2
SKU10100,Amoxicilina 1000mg,Antibióticos Sistémicos,Amoxicilina,Paquete,Bayer,84.21,53.92,1,J01,0,0,20
SKU10101,Azitromicina 500mg,Antibióticos Sistémicos,Azitromicina,Paquete,Boehringer,72.33,40.92,1,J01,0,0,2
SKU10102,Ciprofloxacina 250mg,Antibióticos Sistémicos,Ciprofloxacina,Paquete,Pfizer,22.35,15.56,1,J01,0,0,5
SKU10103,Claritromicina 500mg,Antibióticos Sistémicos,Claritromicina,Kit,GSK,29.86,20.45,1,J01,0,0,1
SKU10104,Cefalexina 750mg,Antibióticos Sistémicos,Cefalexina,Kit,Roche,54.23,37.68,1,J01,0,0,1
SKU10105,Amoxicilina 250mg,Antibióticos Sistémicos,Amoxicilina,Kit,GSK,55.88,32.02,1,J01,0,0,2
SKU10106,Azitromicina 750mg,Antibióticos Sistémicos,Azitromicina,Kit,Abbott,19.51,11.43,1,J01,0,0,1
SKU10107,Ciprofloxacina 500mg,Antibióticos Sistémicos,Ciprofloxacina,Caja,Merck,28.97,18.04,1,J01,0,0,1
SKU10108,Claritromicina 750mg,Antibióticos Sistémicos,Claritromicina,Paquete,Abbott,18.81,12.89,1,J01,0,0,10
SKU10109,Cefalexina 1000mg,Antibióticos Sistémicos,Cefalexina,Paquete,Boehringer,38.58,22.73,1,J01,0,0,1
SKU10110,Amoxicilina 500mg,Antibióticos Sistémicos,Amoxicilina,Unidad,Pfizer,75.8,43.43,1,J01,0,0,1
SKU10111,Azitromicina 1000mg,Antibióticos Sistémicos,Azitromicina,Caja,Roche,73.72,44.96,1,J01,0,0,1
SKU10112,Ciprofloxacina 750mg,Antibióticos Sistémicos,Ciprofloxacina,Paquete,Boehringer,70.7,47.35,1,J01,0,0,1
SKU10113,Claritromicina 1000mg,Antibióticos Sistémicos,Claritromicina,Paquete,Novartis,100.87,58.71,1,J01,0,0,3
SKU10114,Cefalexina 250mg,Antibióticos Sistémicos,Cefalexina,Caja,Pfizer,119.45,79.95,1,J01,0,0,1
SKU10115,Amoxicilina 750mg,Antibióticos Sistémicos,Amoxicilina,Paquete,GSK,53.85,31.29,1,J01,0,0,2
SKU10116,Azitromicina 250mg,Antibióticos Sistémicos,Azitromicina,Caja,Merck,50.57,31.91,1,J01,0,0,1
SKU10117,Ciprofloxacina 1000mg,Antibióticos Sistémicos,Ciprofloxacina,Kit,Bayer,61.15,41.55,1,J01,0,0,1
SKU10118,Claritromicina 250mg,Antibióticos Sistémicos,Claritromicina,Caja,Abbott,53.15,30.63,1,J01,0,0,3
SKU10119,Cefalexina 500mg,Antibióticos Sistémicos,Cefalexina,Kit,Boehringer,40.86,22.66,1,J01,0,0,1
SKU10120,Amoxicilina 1000mg,Antibióticos Sistémicos,Amoxicilina,Unidad,Novartis,80.26,48.68,1,J01,0,0,5
SKU10121,Azitromicina 500mg,Antibióticos Sistémicos,Azitromicina,Unidad,Abbott,50.64,28.26,1,J01,0,0,2
SKU10122,Ciprofloxacina 250mg,Antibióticos Sistémicos,Ciprofloxacina,Unidad,Merck,111.93,70.18,1,J01,0,0,1
SKU10123,Claritromicina 500mg,Antibióticos Sistémicos,Claritromicina,Kit,Novartis,58.32,36.49,1,J01,0,0,1
SKU10124,Cefalexina 750mg,Antibióticos Sistémicos,Cefalexina,Kit,Sanofi,36.16,20.36,1,J01,0,0,2
SKU10125,Amoxicilina 250mg,Antibióticos Sistémicos,Amoxicilina,Paquete,Boehringer,47.25,32.25,1,J01,0,0,3
SKU10126,Azitromicina 750mg,Antibióticos Sistémicos,Azitromicina,Unidad,Roche,74.05,46.76,1,J01,0,0,20
SKU10127,Ciprofloxacina 500mg,Antibióticos Sistémicos,Ciprofloxacina,Unidad,GSK,86.6,50.97,1,J01,0,0,20
SKU10128,Claritromicina 750mg,Antibióticos Sistémicos,Claritromicina,Paquete,Novartis,11.01,6.47,1,J01,0,0,3
SKU10129,Cefalexina 1000mg,Antibióticos Sistémicos,Cefalexina,Unidad,Merck,20.76,11.61,1,J01,0,0,1
SKU10130,Amoxicilina 500mg,Antibióticos Sistémicos,Amoxicilina,Paquete,Abbott,81.55,47.89,1,J01,0,0,5
SKU10131,Azitromicina 1000mg,Antibióticos Sistémicos,Azitromicina,Unidad,Sanofi,101.64,63.06,1,J01,0,0,1
SKU10132,Ciprofloxacina 750mg,Antibióticos Sistémicos,Ciprofloxacina,Kit,Boehringer,58.21,32.38,1,J01,0,0,20
SKU10133,Claritromicina 1000mg,Antibióticos Sistémicos,Claritromicina,Caja,GSK,65.41,41.26,1,J01,0,0,20
SKU10134,Cefalexina 250mg,Antibióticos Sistémicos,Cefalexina,Unidad,GSK,46.31,27.27,1,J01,0,0,2
SKU10135,Amoxicilina 750mg,Antibióticos Sistémicos,Amoxicilina,Paquete,AstraZeneca,24.52,13.94,1,J01,0,0,5
SKU10136,Azitromicina 250mg,Antibióticos Sistémicos,Azitromicina,Kit,Bayer,81.13,47.83,1,J01,0,0,20
SKU10137,Ciprofloxacina 1000mg,Antibióticos Sistémicos,Ciprofloxacina,Kit,Abbott,29.57,17.75,1,J01,0,0,1
SKU10138,Claritromicina 250mg,Antibióticos Sistémicos,Claritromicina,Unidad,Abbott,95.08,60.18,1,J01,0,0,2
SKU10139,Cefalexina 500mg,Antibióticos Sistémicos,Cefalexina,Unidad,AstraZeneca,55.18,38.24,1,J01,0,0,30
SKU10140,Amoxicilina 1000mg,Antibióticos Sistémicos,Amoxicilina,Kit,Novartis,41.06,24.01,1,J01,0,0,1
SKU10141,Azitromicina 500mg,Antibióticos Sistémicos,Azitromicina,Kit,Sanofi,27.99,16.71,1,J01,0,0,3
SKU10142,Ciprofloxacina 250mg,Antibióticos Sistémicos,Ciprofloxacina,Unidad,Novartis,94.59,66.0,1,J01,0,0,3
SKU10143,Claritromicina 500mg,Antibióticos Sistémicos,Claritromicina,Kit,Novartis,68.93,38.56,1,J01,0,0,1
SKU10144,Cefalexina 750mg,Antibióticos Sistémicos,Cefalexina,Kit,Abbott,110.28,66.4,1,J01,0,0,2
SKU10145,Amoxicilina 250mg,Antibióticos Sistémicos,Amoxicilina,Paquete,GSK,53.14,35.72,1,J01,0,0,5
SKU10146,Azitromicina 750mg,Antibióticos Sistémicos,Azitromicina,Kit,Merck,113.59,63.15,1,J01,0,0,3
SKU10147,Ciprofloxacina 500mg,Antibióticos Sistémicos,Ciprofloxacina,Caja,Boehringer,22.25,15.21,1,J01,0,0,3
SKU10148,Claritromicina 750mg,Antibióticos Sistémicos,Claritromicina,Caja,Novartis,45.42,25.61,1,J01,0,0,2
SKU10149,Cefalexina 1000mg,Antibióticos Sistémicos,Cefalexina,Paquete,Boehringer,88.88,59.54,1,J01,0,0,2
SKU10150,Amoxicilina 500mg,Antibióticos Sistémicos,Amoxicilina,Caja,Novartis,74.64,47.43,1,J01,0,0,2
SKU10151,Azitromicina 1000mg,Antibióticos Sistémicos,Azitromicina,Unidad,Roche,114.93,76.77,1,J01,0,0,10
SKU10152,Ciprofloxacina 750mg,Antibióticos Sistémicos,Ciprofloxacina,Caja,Bayer,69.22,40.19,1,J01,0,0,10
SKU10153,Claritromicina 1000mg,Antibióticos Sistémicos,Claritromicina,Caja,Abbott,95.11,54.33,1,J01,0,0,2
SKU10154,Cefalexina 250mg,Antibióticos Sistémicos,Cefalexina,Unidad,Sanofi,32.89,21.7,1,J01,0,0,10
SKU10155,Amoxicilina 750mg,Antibióticos Sistémicos,Amoxicilina,Paquete,Pfizer,113.67,78.74,1,J01,0,0,1
SKU10156,Azitromicina 250mg,Antibióticos Sistémicos,Azitromicina,Kit,AstraZeneca,41.22,28.7,1,J01,0,0,1
SKU10157,Ciprofloxacina 1000mg,Antibióticos Sistémicos,Ciprofloxacina,Paquete,Pfizer,58.89,34.03,1,J01,0,0,5
SKU10158,Claritromicina 250mg,Antibióticos Sistémicos,Claritromicina,Paquete,Roche,20.3,11.68,1,J01,0,0,30
SKU10159,Cefalexina 500mg,Antibióticos Sistémicos,Cefalexina,Paquete,Roche,46.88,28.39,1,J01,0,0,20
SKU10160,Amoxicilina 1000mg,Antibióticos Sistémicos,Amoxicilina,Kit,Merck,25.27,14.86,1,J01,0,0,10
SKU10161,Azitromicina 500mg,Antibióticos Sistémicos,Azitromicina,Paquete,Bayer,81.43,53.77,1,J01,0,0,2
SKU10162,Ciprofloxacina 250mg,Antibióticos Sistémicos,Ciprofloxacina,Caja,GSK,98.14,62.21,1,J01,0,0,1
SKU10163,Claritromicina 500mg,Antibióticos Sistémicos,Claritromicina,Kit,Roche,57.07,34.83,1,J01,0,0,5
SKU10164,Cefalexina 750mg,Antibióticos Sistémicos,Cefalexina,Caja,Merck,62.96,38.12,1,J01,0,0,30
SKU10165,Amoxicilina 250mg,Antibióticos Sistémicos,Amoxicilina,Kit,Sanofi,31.98,18.32,1,J01,0,0,10
SKU10166,Azitromicina 750mg,Antibióticos Sistémicos,Azitromicina,Kit,Novartis,107.0,74.83,1,J01,0,0,30
SKU10167,Ciprofloxacina 500mg,Antibióticos Sistémicos,Ciprofloxacina,Unidad,Abbott,96.61,66.87,1,J01,0,0,10
SKU10168,Claritromicina 750mg,Antibióticos Sistémicos,Claritromicina,Unidad,Novartis,24.33,15.29,1,J01,0,0,3
SKU10169,Cefalexina 1000mg,Antibióticos Sistémicos,Cefalexina,Unidad,Novartis,66.28,39.18,1,J01,0,0,5
SKU10170,Amoxicilina 500mg,Antibióticos Sistémicos,Amoxicilina,Caja,Boehringer,44.35,30.29,1,J01,0,0,1
SKU10171,Azitromicina 1000mg,Antibióticos Sistémicos,Azitromicina,Caja,Abbott,114.8,80.03,1,J01,0,0,2
SKU10172,Ciprofloxacina 750mg,Antibióticos Sistémicos,Ciprofloxacina,Caja,AstraZeneca,90.19,49.77,1,J01,0,0,30
SKU10173,Claritromicina 1000mg,Antibióticos Sistémicos,Claritromicina,Caja,Merck,100.65,60.81,1,J01,0,0,2
SKU10174,Cefalexina 250mg,Antibióticos Sistémicos,Cefalexina,Caja,Abbott,53.4,33.62,1,J01,0,0,30
SKU10175,Amoxicilina 750mg,Antibióticos Sistémicos,Amoxicilina,Paquete,Sanofi,53.65,32.97,1,J01,0,0,2
SKU10176,Azitromicina 250mg,Antibióticos Sistémicos,Azitromicina,Kit,Sanofi,80.61,55.8,1,J01,0,0,2
SKU10177,Ciprofloxacina 1000mg,Antibióticos Sistémicos,Ciprofloxacina,Kit,Pfizer,31.74,22.0,1,J01,0,0,50
SKU10178,Claritromicina 250mg,Antibióticos Sistémicos,Claritromicina,Unidad,GSK,109.08,66.82,1,J01,0,0,2
SKU10179,Cefalexina 500mg,Antibióticos Sistémicos,Cefalexina,Paquete,Bayer,77.38,47.46,1,J01,0,0,1
SKU10180,Amoxicilina 1000mg,Antibióticos Sistémicos,Amoxicilina,Paquete,Roche,58.29,34.82,1,J01,0,0,3
SKU10181,Azitromicina 500mg,Antibióticos Sistémicos,Azitromicina,Unidad,Sanofi,107.33,60.36,1,J01,0,0,20
SKU10182,Ciprofloxacina 250mg,Antibióticos Sistémicos,Ciprofloxacina,Kit,GSK,20.26,12.4,1,J01,0,0,3
SKU10183,Claritromicina 500mg,Antibióticos Sistémicos,Claritromicina,Kit,Boehringer,41.57,24.28,1,J01,0,0,5
SKU10184,Cefalexina 750mg,Antibióticos Sistémicos,Cefalexina,Unidad,Roche,101.07,70.29,1,J01,0,0,30
SKU10185,Amoxicilina 250mg,Antibióticos Sistémicos,Amoxicilina,Caja,Boehringer,80.65,48.36,1,J01,0,0,2
SKU10186,Azitromicina 750mg,Antibióticos Sistémicos,Azitromicina,Unidad,Boehringer,29.19,18.3,1,J01,0,0,10
SKU10187,Ciprofloxacina 500mg,Antibióticos Sistémicos,Ciprofloxacina,Paquete,Sanofi,33.13,22.63,1,J01,0,0,1
SKU10188,Claritromicina 750mg,Antibióticos Sistémicos,Claritromicina,Caja,Roche,63.21,40.92,1,J01,0,0,3
SKU10189,Cefalexina 1000mg,Antibióticos Sistémicos,Cefalexina,Kit,Novartis,58.69,36.48,1,J01,0,0,2
SKU10190,Amoxicilina 500mg,Antibióticos Sistémicos,Amoxicilina,Unidad,Bayer,76.15,43.24,1,J01,0,0,20
SKU10191,Azitromicina 1000mg,Antibióticos Sistémicos,Azitromicina,Paquete,Abbott,117.27,70.72,1,J01,0,0,3
SKU10192,Ciprofloxacina 750mg,Antibióticos Sistémicos,Ciprofloxacina,Caja,Sanofi,38.08,22.51,1,J01,0,0,50
SKU10193,Claritromicina 1000mg,Antibióticos Sistémicos,Claritromicina,Caja,Sanofi,98.01,66.75,1,J01,0,0,1
SKU10194,Cefalexina 250mg,Antibióticos Sistémicos,Cefalexina,Caja,Roche,42.4,24.51,1,J01,0,0,2
SKU10195,Amoxicilina 750mg,Antibióticos Sistémicos,Amoxicilina,Paquete,Bayer,22.52,14.04,1,J01,0,0,2
SKU10196,Azitromicina 250mg,Antibióticos Sistémicos,Azitromicina,Unidad,Abbott,107.62,62.37,1,J01,0,0,1
SKU10197,Ciprofloxacina 1000mg,Antibióticos Sistémicos,Ciprofloxacina,Kit,AstraZeneca,115.51,67.99,1,J01,0,0,10
SKU10198,Claritromicina 250mg,Antibióticos Sistémicos,Claritromicina,Unidad,Pfizer,86.41,47.67,1,J01,0,0,1
SKU10199,Cefalexina 500mg,Antibióticos Sistémicos,Cefalexina,Unidad,Sanofi,115.73,70.25,1,J01,0,0,2
SKU10200,Amoxicilina 1000mg,Antibióticos Sistémicos,Amoxicilina,Paquete,Abbott,77.12,42.49,1,J01,0,0,2
SKU10201,Azitromicina 500mg,Antibióticos Sistémicos,Azitromicina,Paquete,Sanofi,24.84,13.85,1,J01,0,0,2
SKU10202,Ciprofloxacina 250mg,Antibióticos Sistémicos,Ciprofloxacina,Unidad,Boehringer,24.63,16.71,1,J01,0,0,10
SKU10203,Claritromicina 500mg,Antibióticos Sistémicos,Claritromicina,Caja,Bayer,114.13,68.53,1,J01,0,0,10
